scrape_ts,city,probe_locality,probe_lat,probe_lng,restaurant_id,name,locality,area_name,cost_for_two_raw,cuisines,avg_rating,total_ratings_raw,delivery_time_min,last_mile_km,is_open,veg_only,offer_header,offer_subheader,offer_tag,chain_parent_id,cost_for_two,n_ratings,offer_type,offer_pct,offer_flat,offer_cap,offer_min_order,item_price,locality_reach,chain_outlets,is_chain,n_cuisines,primary_cuisine,has_offer,log_cost,log_votes,cost_w,cost_pct_in_city
2026-09-19 21:12:19,Hyderabad,Begumpet,17.4435,78.4645,100942,Lucky Multicuisine Restaurant,Somajiguda,Somajiguda,₹350 for two,Biryani|Tandoor|South Indian,3.9,78K+,43,5.0,True,False,70% OFF,UPTO ₹140,,18963,350.0,78000.0,percent,70.0,0.0,140.0,,,3,3,1,3,Biryani,1,5.857933154483459,11.264476926102367,350.0,0.6060606060606061
2026-09-19 21:12:19,Pune,Kothrud,18.5074,73.8077,101442,Shri Swami Samartha Pure Veg,Kothrud,Kothrud,₹200 for two,North Indian|Chinese|pav bhaji|Biryani|Beverages|Desert ,4.1,24K+,12,0.3,True,True,70% OFF,UPTO ₹140,,187092,200.0,24000.0,percent,70.0,0.0,140.0,,,1,1,0,6,North Indian,1,5.298317366548036,10.085850775128717,200.0,0.12863070539419086
2026-09-19 21:12:19,Delhi,Rohini,28.7495,77.0565,101657,NIC Ice Creams,Block D PKT8,Rohini,₹120 for two,Ice Cream|Desserts,4.6,13K+,33,7.8,True,True,ITEMS,AT ₹42,,6249,120.0,13000.0,item_price_point,0.0,0.0,,,42.0,1,35,1,2,Ice Cream,1,4.787491742782046,9.472781556562168,120.0,0.013452914798206279
2026-09-19 21:12:19,Mumbai,Lower Parel,18.996,72.8258,102003,NIC Ice Creams,DELISLE ROAD,Lower Parel,₹120 for two,Ice Cream|Desserts,4.7,9.1K+,28,2.4,True,True,70% OFF,UPTO ₹140,,6249,120.0,9100.0,percent,70.0,0.0,140.0,,,1,35,1,2,Ice Cream,1,4.787491742782046,9.116139576577355,120.0,0.016728624535315983
2026-09-19 21:12:19,Hyderabad,Kukatpally,17.4849,78.4138,104530,Bakingo,K P H B Phase 1,Nizampet,₹300 for two,Bakery|Desserts|Beverages|Snacks,4.5,20K+,32,3.0,True,False,ITEMS,AT ₹649,,3818,300.0,20000.0,item_price_point,0.0,0.0,,,649.0,1,39,1,4,Bakery,1,5.703782474656201,9.90353755128617,300.0,0.48484848484848486
2026-09-19 21:12:19,Chennai,Nungambakkam,13.0569,80.2425,107139,NIC Ice Creams,Shilver Park Apartment,T. Nagar,₹120 for two,Ice Cream|Desserts,4.7,16K+,23,3.6,True,True,70% OFF,UPTO ₹140,,6249,120.0,16000.0,percent,70.0,0.0,140.0,,,1,35,1,2,Ice Cream,1,4.787491742782046,9.680406499268875,120.0,0.024793388429752067
2026-09-19 21:12:19,Chennai,Porur,13.0359,80.1567,107728,Zaitoon,Valluvar Street,Ramapuram,₹450 for two,North Indian|Arabian|Chinese,4.2,66K+,31,4.0,True,False,₹200 OFF,ABOVE ₹599,FLAT DEAL,4555,450.0,66000.0,flat,0.0,200.0,,599.0,,1,3,1,3,North Indian,1,6.1092475827643655,11.097425172408931,450.0,0.8615702479338843
2026-09-19 21:12:19,Mumbai,Dadar,19.0178,72.8478,108765,Kirti Mahal Legacy,Parel,Parel,₹350 for two,Indian|South Indian|Chinese|Punjabi|Fast Food|Juices,4.4,36K+,31,1.5,True,True,50% OFF,,FLAT DEAL,368699,350.0,36000.0,percent,50.0,0.0,,,,1,1,0,6,Indian,1,5.857933154483459,10.491301994830229,350.0,0.5353159851301115
2026-09-19 21:12:19,Hyderabad,Begumpet,17.4435,78.4645,108985,NIC Ice Creams,Ameerpeth,Begumpet,₹120 for two,Ice Cream|Desserts,4.5,24K+,36,4.1,True,True,70% OFF,UPTO ₹140,,6249,120.0,24000.0,percent,70.0,0.0,140.0,,,1,35,1,2,Ice Cream,1,4.787491742782046,10.085850775128717,120.0,0.023809523809523808
2026-09-19 21:12:19,Mumbai,Chembur,19.0522,72.9005,109781,Jeevan Boarding House,Chembur,Chembur,₹150 for two,Thalis|Indian,4.5,10K+,26,1.1,True,True,ITEMS,AT ₹45,,2835,150.0,10000.0,item_price_point,0.0,0.0,,,45.0,1,1,0,2,Thalis,1,5.0106352940962555,9.210440366976517,150.0,0.055762081784386616
